,Time (s),J (nA/cm2),bkg,J-bkg
0,0.3583254000004672,5243.102272727273,5240.554432886674,2.5478398405994085
1,0.8725701999992452,5242.727272727273,5240.31190089037,2.4153718369025228
2,1.3862740999993548,5242.188636363637,5240.069368974637,2.119267389000015
3,1.9011809999992693,5241.9340909090915,5239.826837296422,2.1072536126694104
4,2.40375689999928,5241.497727272727,5239.584306079693,1.9134211930340825
5,2.9050000999995973,5241.161363636364,5239.34177561505,1.8195880213133933
6,3.406356199999209,5240.915909090909,5239.099246253601,1.8166628373073763
7,3.919893799999045,5240.668181818182,5238.8567184039985,1.8114634141838906
8,4.432939799999076,5240.302272727274,5238.614192532337,1.6880801949364468
9,4.93825889999971,5239.929545454545,5238.371669161998,1.5578762925470073
10,5.449400100000275,5239.638636363637,5238.1291488697425,1.5094874938940848
11,5.951883499999894,5239.234090909091,5237.8866322815975,1.3474586274933245
12,6.467126100000314,5239.006818181818,5237.644120071326,1.3626981104916922
13,6.968168600000354,5238.888636363637,5237.401612955301,1.4870234083355172
14,7.48295859999962,5238.361363636364,5237.159111692985,1.2022519433794514
15,7.99636719999944,5237.963636363636,5236.916617090865,1.0470192727716494
16,8.498354400000608,5237.859090909092,5236.6741299934465,1.1849609156452061
17,9.013525099999242,5237.443181818182,5236.431651278344,1.0115305398376222
18,9.531784400000106,5237.127272727273,5236.189181860649,0.9380908666234973
19,10.051757400000497,5236.645454545455,5235.946722687436,0.6987318580195279
20,10.5610130999994,5236.654545454546,5235.704274735448,0.9502707190977162
21,11.075152499999597,5236.372727272727,5235.461839003525,0.9108882692025873
22,11.575958499999615,5235.884090909091,5235.219416520556,0.6646743885357864
23,12.088347200000499,5235.581818181819,5234.9770083442345,0.6048098375840709
24,12.593672099999822,5235.409090909091,5234.734615553276,0.6744753558150478
25,13.095395700000154,5235.111363636364,5234.492239245522,0.619124390842444
26,13.609895300000062,5234.74090909091,5234.249880540142,0.49102855076762353
27,14.12381490000007,5234.534090909091,5234.007540575885,0.5265503332057051
28,14.638221299999714,5234.222727272728,5233.765220507028,0.45750676569969073
29,15.139245799999117,5233.875,5233.522921504498,0.3520784955017007
30,15.644575899999843,5233.765909090909,5233.280644753689,0.4852643372205421
31,16.156355600000097,5233.461363636364,5233.038391451127,0.4229721852370858
32,16.66949559999921,5233.072727272727,5232.796162808688,0.27656446403943846
33,17.170429399999193,5232.906818181818,5232.553960051619,0.35285813019982015
34,17.68627860000015,5232.634090909091,5232.311784413914,0.3223064951771448
35,18.189263399999618,5232.313636363637,5232.069637140727,0.24399922291013354
36,18.698308799999722,5231.995454545455,5231.827519487401,0.16793505805344466
37,19.201243699999395,5231.872727272727,5231.585432716998,0.28729455572920415
38,19.714844100000846,5231.472727272728,5231.343378097889,0.12934917483835306
39,20.23416779999934,5231.265909090909,5231.1013569075285,0.16455218338069244
40,20.73776799999905,5230.852272727273,5230.859370427462,-0.0070977001887513325
41,21.23843669999951,5230.743181818182,5230.617419944436,0.12576187374634173
42,21.739169799999218,5230.3431818181825,5230.375506722982,-0.032324904799679643
43,22.24397820000013,5230.206818181819,5230.133632031606,0.0731861502126776
44,22.74763840000014,5229.920454545455,5229.891797037615,0.02865750783985277
45,23.253345699999045,5229.75,5229.650002910634,0.09999708936629759
46,23.7576083999993,5229.370454545455,5229.4082508211895,-0.037796275734763185
47,24.269836600000417,5229.145454545455,5229.166541942974,-0.021087397518385842
48,24.779892700000346,5228.940909090909,5228.924877331349,0.01603175956006453
49,25.286040299999513,5228.74090909091,5228.683257975663,0.05765111524669919
50,25.796686600000612,5228.568181818182,5228.4416848657675,0.1264969524145272
51,26.30831050000051,5228.352272727273,5228.200158993339,0.1521137339341294
52,26.82167389999995,5228.043181818181,5227.958681354052,0.08450046412963275
53,27.337401000000682,5227.781818181818,5227.717252948393,0.0645652334251281
54,27.852892999999312,5227.561363636364,5227.475874779522,0.08548885684194829
55,28.367487499999697,5227.304545454545,5227.234547852639,0.06999760190683446
56,28.882039500000246,5226.918181818181,5226.993273175647,-0.07509135746568063
57,29.404729699999734,5226.727272727273,5226.7520517586645,-0.024779031391517492
58,29.933423000000403,5226.431818181819,5226.510884376722,-0.0790661949031346
59,30.469065900000714,5226.356818181818,5226.269771727278,0.08704645454054116
60,31.00488039999982,5226.086363636365,5226.028714260257,0.05764937610729248
61,31.5320885000001,5225.8772727272735,5225.7877124283405,0.0895602989330655
62,32.05605169999944,5225.604545454546,5225.546766686031,0.0577787685142539
63,32.57806080000046,5225.397727272728,5225.305877490668,0.09184978206030792
64,33.09111099999973,5225.120454545455,5225.065045301411,0.055409244043403305
65,33.60648530000071,5224.9,5224.8242705803295,0.07572941967009683
66,34.122735200000534,5224.606818181818,5224.583553791243,0.02326439057560492
67,34.63910709999982,5224.452272727272,5224.342895400365,0.10937732690763369
